artist|title|spotid
Creeper | Black Mass | 2h9pEUjOjOuxxluZr7nOvh
Creeper | Down Below | 1gqFseiZ5h6iNdhabzOiBJ
WWE, CFO$, Nita Strauss | The Rising Sun (WrestleMania 34 Performance) | 4oI9SOMQK2wthNjYOrl2Up
RedHook | Turn Up the Stereotype | 5H7O36LLWYz53GMgklmCzf
Gerard Way | Baby You're a Haunted House | 4c38yr2PflGI2DSIzqsnmF
The Notorious B.I.G. | Ready to Die | 3UQAKY0SUEonxneROvv4jy
St. Vincent | Savior | 0uXOXjd0iaptu1co1BJrif
St. Vincent | Hang On Me | 54IL47Tmp2MAVABIdf6eMF
Joan Jett & The Blackhearts | Bad Reputation | 7pu8AhGUxHZSCWTkQ2eb5M
Joan Jett & The Blackhearts | Do You Wanna Touch Me (Oh Yeah) | 6Xprc4GuCejWA3BjU5knyw
The Regrettes | California Friends | 6QKtCL5SUseSpvEMJpJPOa
The Winking Owl | Let Go | 6XMiLgDlsILQF7eN5P7ASv
The Winking Owl | Interlude〜Applause〜 | 6DlBLUBAnIiwIyGqBzDaP8
The Winking Owl | Chain of Emotions | 6TD4IgWz4W3tyyh2MBUY7S
The Winking Owl | ベクトリズム | 2230P6dzegQbkvE95hqUz3
The Winking Owl | Precious Love | 7o8wSSSflpsrmbPSV2UxRU
The Winking Owl | Everyone Has A Story | 1j4EA2UoGXiyWyzJPTscRp
The Winking Owl | Now What?! | 0SZLOptYxLhIROCyOiHT5m
Ellisa Sun | Just a Little More | 1ZNc8DLutsTeDsGplN6bZM
Misfits | Hybrid Moments | 3gN4UFoOnRHlMl3K4kU5zG
The Offspring | You're Gonna Go Far, Kid | 6TfBA04WJ3X1d1wXhaCFVT
Paramore | The Only Exception | 3ZHfX6kbiY7JVsB63lLOLu
Suzanne Vega | Tom's Diner | 1v8HdKZcmfSTYithBJzsmZ
Korpiklaani | Let`s Drink | 3cOptgJqQ9wO139hmEE10t
Screaming Females | Deeply | 7q2YU4CSE2QSnIuzt1yXDL
Screaming Females | High | 0225WhN2SrZIFibhiRBH5c
Screaming Females | Wishing Well | 61ZocnIQ5gnNbcqD3fdNmj
Screaming Females | Criminal Image | 5Exvn8HMcR5siCQ4DdD0Sa
Screaming Females | Triumph | 7syZm0OWPfVPeU9ecz4DgX
Screaming Females | Glass House | 65MAh0uBZ9PNlWM1Oay7hA
The Distillers | Blood in Gutters | 5Hyl5Vc5vWSaKahDz7TKoY
The Distillers | Man vs. Magnet | 4EiqUaxoBL4DHNNsHxvgQc
Code Orange | Forever | 1G6czdqgskwJ4cBgx9CDAJ
IDLES | Faith in the City | 1lwpOCiFafyTxV3n6mjRBY
IDLES | Colossus | 3comBhxjhdk133y7d1hI1n
IDLES | Divide & Conquer | 04k4DlSjx7XECYgjHXJ78G
IDLES | Samaritans | 2f37W2wueDF7gPo493fkW2
IDLES | Great | 1c1tdTuWxxTm1CgbdpLtZG
IDLES | Danny Nedelko | 44TyGuyg0xVt5Ngq4CCnxD
Middlemist Red | Multicoloured Drive | 6y6tDC2YYjb4KVSS7c8LR7
Bone Lowry, Ocho Tonio | Demon City | 2wQ7WUjduUm5w6Yw613KB0
Hawks and Doves | Bulletproof Hearts (For Laura Jane) | 0NPmTA9RQvYjMyW4QFCtnA
CHVRCHES, WEDNESDAY CAMPANELLA | Out Of My Head | 3qXF2imvormwwquEVsenK4
Katie Ellen | City / Country | 2jHlH5BzONMhhGBeXDM4ac
Dead Or Alive | You Spin Me Round (Like a Record) | 7uHO4AmKtyGa5v5fsElGoC
Black Sabbath | The Mob Rules - 2009 Remaster | 0c0lvWGTAKBslQKRGzMs8X
Black Sabbath | Trashed - 2009 Remaster | 7e9pK4O0K8QWWRTK9jS5sW
CHVRCHES, Matt Berninger | My Enemy | 5YLuXKsZ02FNK9MyaKi9Uw
CHVRCHES | Get Out | 2V1Y9Xw5fXt7v94xObfHFW
Hole | Jennifer's Body | 6wAdJF85cna96BwQn2Pg8c
Hole | Miss World | 3yMFBuIdPBdJkkzaPBDjKY
Danzig | Evil Thing | 3Wsg2Z3HOp5lq8vTGF36QB
Rob Zombie, Marilyn Manson | Helter Skelter | 7dbjRLY969SvR0inx3h1eP
Dentist | Figure-Four | 2KNXRMHMz9ht4msLwyI5En
Katie Ellen | Adaptation of Para Todos | 7sA78nfwwuQ48LaMj0fVAO
Katie Ellen | Still Life | 4Lr8lN1ZcIMR2hTpGqGSrF
Katie Ellen | Lighthouse | 7zcTKMhjyNsCRrKhNQ2EWO
David Grimason | Crank (Fight Club Theme) | 2lJ5Z2bLq4Nk5JQiLN7PBm
David Grimason | Wish It Away (Drew Galloway Theme) | 3PAF1h5OVWe5aHZGoWapH4
David Grimason | Psycho (New Age Kliq Theme) | 2Ze20bJ1bTtuEZ75pgGvUq
Chris Mitchell, David Grimason | Domination (Filthy Generation Theme) | 4ty1GunSbhQw3l15550XTk
Cut Chemist, Deantoni Parks | Die Cut (Theme) | 71fmngGlURlPu4OycJmNda
Cut Chemist, Biz Markie | Moonlightin' with Biz | 5IuNjz6Gbpr1cAo6sNucve
Cut Chemist, Chali 2na, Hymnal | Work My Mind | 55Jb8JSSgDM8iNkslhWvHJ
Childish Gambino | Feels Like Summer | 7p4vHnYXkxlzvfePJVpcTr
Childish Gambino | Summertime Magic | 4j3GWI86JvSaF0BLdmgcfF
DragonForce | Through The Fire And Flames | 1iTb2vi8Bls7QY6CKL2gj2
Wolf Alice | Don’t Delete The Kisses | 1LomCMl5wD3MPVlC6smUHe
Father John Misty | True Affection | 6GDk20aRlcSjTmrtgE9USy
Elton John, Jack White | 2 Fingers of Whiskey - Music from The American Epic Sessions | 5Yn8WCB4Dqm8snemB5Mu4K
Ghost | Genesis | 4pl7y4Cyrl8WJlbFjrus5T
Ghost | Prime Mover | 4GeEzL9Eu2SdY1ogi1jfT6
Ghost | Stand By Him | 39SF8NMJWj4CSt6QK7FN3b
Ghost | Con Clavi Con Dio | 5XdFVvTBhr1JvtZfazo3fE
Avery Mandeville | Blood | 4mlwN43q4ebEKtfhXjQb6g
Mikki Hommel | Livin in Love | 2QMcaOjT894RltRsWKNhz2
Ghost | Cirice | 5j3iBuHq6vv7VcBo4Y2QrK
Ghost | Square Hammer | 3XNPRJeE1ssODmXDS7hP22
Ghost | Rats | 1WjcX541kITk0ACPf5K6Bp
Nine Inch Nails | Play the Goddamned Part | 5wt1PmsOAfMohbdSyBdhMV
Nine Inch Nails | I'm Not from This World | 02Idl8q2bZhZEXqsWXXoG9
Nine Inch Nails | Over and Out | 1J8CqSsS6ErrveimQyCvZa
Nine Inch Nails | Shit Mirror | 79uO9bKIBzjD1lasokGlnA
Astroid Boys | Dusted | 22zS2iKPU4yalwn7Dt7sB0
GUTTFULL | Does Your Girlfriend Know You're Here? | 3nRDCnDl8tPGyccmtXUcp3
GUTTFULL | Arsehole - 2018 Version | 4mbyN4PZ7QXXrsm7xhiulX
Grimes | Genesis | 48p1tayyXF3eh8E3Y4pXmK
Alice Glass | Mine | 3aqwrBlRv9nW5mh3bpvwrP
The Regrettes | Helpless | 7522DukIFj1ApjJ5ntF4od
Alestorm | Buckfast Powersmash | 1uwsX7pVxavjAmAfnRGWyD
65daysofstatic | Retreat! Retreat! | 1HGCm2m8Io3QhMywwiAPWP
Boys Noize | Lava Lava | 2wFSE80vLvCGWz4NzFKSfZ
Rufus, Chaka Khan | Ain't Nobody | 53Za5vyGc1x7GxgJVRjRKc
James Hannigan | Red Alert 3 Theme - Soviet March | 1OS1CHppoO1jLRvmveXvtr
Jack Off Jill | Super Sadist | 5BYnRpDaL7dhqL16nHAlJP
Bat For Lashes | I Saw A Light | 1fPm1kZWrfcOXjjd69XfQk
Ian van Dahl, Marsha | Castles In The Sky - Radio Mix | 3KhoIbIPMmoGthbBAPxgOK
BABYMETAL | Distortion | 0bckXAa9gRsZ36OVPShwrY
Childish Gambino | Not Going Back | 4sy3B9TPNMIze8oFrDJnUN
Childish Gambino | This Is America | 0b9oOr2ZgvyQu88wzixux9
IDLES | Mother | 1nGJuMCIMDeOAy0MAzKpQC
Shadows of The Sun | Shadows of a Setting Sun (Shinsuke Nakamura) | 17h90ZbLVOo5gBvPBHfyWs
Cult Of Luna, Julie Christmas | The Wreck of S.S. Needle | 3NMwWr06oRjH22lpVe5iPF
Cult Of Luna, Julie Christmas | Chevron | 4ABO6X3vc2Y6QFFT6YPjgU
Colin Hay | Waiting For My Real Life To Begin | 14Yt3KfCCbtpgUkKPgKJMc
Girlschool | 20th Century Boy | 7xX6grNL1ubOS4A7XhwLua
Girlschool | Bomber | 5Dyyx0o1ckIaA6Or0VTJhF
Girlschool | Emergency | 5GbpIihnyJAKhAsa8HZepg
